code,timestamp_started,timestamp_ended,attacker_id,attacker_name,attacker_faction,attacker_factionname,defender_id,defender_name,defender_faction,defender_factionname,result,stealthed,respect,chain,raid,ranked_war,respect_gain,respect_loss,modifiers_fair_fight,modifiers_war,modifiers_retaliation,modifiers_group_attack,modifiers_overseas,modifiers_chain_bonus
a50ed33ec05ba2297abd4aa96a046e74,1682149728,1682149731,2678362,Stewart33,22968,Revolutionary Guerrillas,2481578,saltedpopcorn,44762,The Power Rangers,Lost,0,0,0,0,0,0,0,1,1,1,1,1,1
1c1c10c97300f8b4759f4859da4b076e,1682149744,1682149756,,,,,2878315,Dustyplok,44762,The Power Rangers,Attacked,1,3.82,592,0,1,3.82,0.96,1.34,2,1,1,1,1.44
590bc25640534ca0948c06ecc31ffc28,1682149862,1682149882,2378426,gHosTsHaDoWmisT,22968,Revolutionary Guerrillas,2025791,Todd93,44762,The Power Rangers,Attacked,0,9.5,593,0,1,9.5,2.38,3,2,1,1,1,1.44
c60143cbc13ae1ae55f504ac364e20c9,1682149960,1682149968,,,,,1946860,ralphietheax,44762,The Power Rangers,Attacked,1,3.43,594,0,1,3.43,0.86,1.28,2,1,1,1,1.44
0cd9d6d04fdcf7e17a24ca629b7dee97,1682149981,1682149988,2090324,MOM,22968,Revolutionary Guerrillas,2344599,GeneralKev,44762,The Power Rangers,Attacked,0,10.71,595,0,1,10.71,2.68,3,2,1,1,1,1.44
811e3a60ed5929f81e2ddc52a924ecb5,1682150004,1682150007,2090324,MOM,22968,Revolutionary Guerrillas,2099194,GooGooSauce,44762,The Power Rangers,Attacked,0,6.5,596,0,1,6.5,1.63,1.88,2,1,1,1,1.44
58ec0f2db4416f58d53acb5e357f90e9,1682150020,1682150024,2090324,MOM,22968,Revolutionary Guerrillas,2704729,Daredevil1234,44762,The Power Rangers,Attacked,0,7.79,597,0,1,7.79,1.95,2.2,2,1,1,1,1.44
dd33a16ba4c892c5b9fffa1e476b76ba,1682150042,1682150048,2378426,gHosTsHaDoWmisT,22968,Revolutionary Guerrillas,2669087,thekwebb,44762,The Power Rangers,Assist,0,0,0,0,0,0,0,1,1,1,1,1,1
3cb967df31234642e24bc454e517d85f,1682150045,1682150049,2090324,MOM,22968,Revolutionary Guerrillas,2669087,thekwebb,44762,The Power Rangers,Attacked,0,4.19,598,0,1,4.19,1.05,1.2,2,1,1.25,1,1.44
d2622037eedabd6440d476493aaae23f,1682150143,1682150154,,,,,2864369,LordTenchi,44762,The Power Rangers,Attacked,1,3.19,599,0,1,3.19,0.8,1.12,2,1,1,1,1.44
994f10f14c99eb1694ad784f56188b87,1682150329,1682150335,2804718,wajcha,44762,The Power Rangers,320124,chaos101,8827,BANDILA,Lost,0,0,0,0,0,0,0,1,1,1,1,1,1
1365d800fb0ac94122cd68c7eda8cea6,1682150338,1682150347,,,,,2467799,YangGang,44762,The Power Rangers,Attacked,1,8.89,600,0,1,8.89,2.22,2.78,2,1,1,1,1.44
0e8981a62e47c4874034b931e8553115,1682150384,1682150388,,,,,2837508,EndKiri,44762,The Power Rangers,Attacked,1,3.41,601,0,1,3.41,0.85,1.15,2,1,1,1,1.44
27f4cd83f1038f929f3a8049439d9fb4,1682150419,1682150422,,,,,2865326,Ravensight,44762,The Power Rangers,Attacked,1,3.28,602,0,1,3.28,0.82,1.14,2,1,1,1,1.44
607c9cb7a290c59122f4a2a9b2018e35,1682150423,1682150441,,,,,2839747,Sta_Whi,44762,The Power Rangers,Attacked,1,3.48,603,0,1,3.48,0.87,1.2,2,1,1,1,1.45
0a1a332b7d20f67b98642b269d47ba3d,1682150443,1682150445,,,,,2675997,112,44762,The Power Rangers,Attacked,1,3.07,604,0,1,3.07,0.77,1.09,2,1,1,1,1.45
51b4b47d7d99f99e8bb27f606b0e8775,1682150522,1682150535,,,,,2850877,AP86,44762,The Power Rangers,Attacked,1,4.22,605,0,1,4.22,1.06,1.47,2,1,1,1,1.45
356056854fa90d94335c41f6e601f4dc,1682150565,1682150571,,,,,2167036,Ryukendo,44762,The Power Rangers,Attacked,1,11.06,606,0,1,11.06,2.77,2.91,2,1,1,1,1.45
c12f980782c3e0e8586e72968a9ddd3f,1682150629,1682150639,,,,,2590405,microgeniusz80,44762,The Power Rangers,Attacked,1,3.37,607,0,1,3.37,0.84,1.15,2,1,1,1,1.45
